N;M;run;T
1;5;1;34.350
1;5;2;23.800
1;5;3;27.300
1;5;4;41.500
1;5;5;43.700
1;5;6;35.400
1;5;7;25.850
1;5;8;31.800
1;5;9;24.100
1;5;10;28.500
1;5;11;29.700
1;5;12;33.800
1;5;13;48.050
1;5;14;28.400
1;5;15;33.750
1;10;1;75.800
1;10;2;55.400
1;10;3;63.450
1;10;4;59.950
1;10;5;59.500
1;10;6;48.200
1;10;7;62.800
1;10;8;55.350
1;10;9;76.400
1;10;10;66.000
1;10;11;70.450
1;10;12;50.850
1;10;13;55.700
1;10;14;81.050
1;10;15;49.600
1;15;1;99.150
1;15;2;112.900
1;15;3;112.600
1;15;4;123.300
1;15;5;93.100
1;15;6;92.700
1;15;7;74.500
1;15;8;110.900
1;15;9;78.800
1;15;10;113.150
1;15;11;89.850
1;15;12;98.250
1;15;13;80.150
1;15;14;91.750
1;15;15;139.000
2;5;1;17.450
2;5;2;22.700
2;5;3;26.500
2;5;4;22.050
2;5;5;12.750
2;5;6;20.950
2;5;7;11.350
2;5;8;20.550
2;5;9;14.300
2;5;10;15.450
2;5;11;23.800
2;5;12;12.850
2;5;13;17.750
2;5;14;18.550
2;5;15;12.350
2;10;1;31.400
2;10;2;35.850
2;10;3;34.850
2;10;4;29.100
2;10;5;29.800
2;10;6;34.000
2;10;7;34.500
2;10;8;34.750
2;10;9;34.050
2;10;10;34.450
2;10;11;33.150
2;10;12;40.200
2;10;13;31.150
2;10;14;35.150
2;10;15;30.400
2;15;1;41.150
2;15;2;45.600
2;15;3;54.350
2;15;4;63.500
2;15;5;47.700
2;15;6;46.450
2;15;7;63.900
2;15;8;43.500
2;15;9;43.950
2;15;10;51.250
2;15;11;63.350
2;15;12;50.300
2;15;13;44.300
2;15;14;48.550
2;15;15;62.850
3;5;1;14.050
3;5;2;17.500
3;5;3;15.250
3;5;4;13.900
3;5;5;16.200
3;5;6;8.750
3;5;7;13.150
3;5;8;17.350
3;5;9;13.950
3;5;10;12.800
3;5;11;15.850
3;5;12;11.850
3;5;13;13.500
3;5;14;19.200
3;5;15;15.900
3;10;1;23.900
3;10;2;20.950
3;10;3;26.650
3;10;4;28.200
3;10;5;27.050
3;10;6;20.450
3;10;7;26.900
3;10;8;18.900
3;10;9;30.950
3;10;10;27.000
3;10;11;22.700
3;10;12;28.850
3;10;13;29.250
3;10;14;25.000
3;10;15;26.250
3;15;1;35.400
3;15;2;31.550
3;15;3;36.000
3;15;4;36.000
3;15;5;34.300
3;15;6;40.100
3;15;7;39.200
3;15;8;35.400
3;15;9;39.500
3;15;10;33.250
3;15;11;38.750
3;15;12;38.800
3;15;13;33.650
3;15;14;36.600
3;15;15;34.700
4;5;1;9.550
4;5;2;9.800
4;5;3;9.750
4;5;4;7.950
4;5;5;11.250
4;5;6;8.250
4;5;7;10.350
4;5;8;13.850
4;5;9;11.450
4;5;10;9.650
4;5;11;15.250
4;5;12;10.200
4;5;13;11.850
4;5;14;9.300
4;5;15;12.350
4;10;1;23.150
4;10;2;14.900
4;10;3;18.350
4;10;4;18.550
4;10;5;15.150
4;10;6;22.050
4;10;7;19.150
4;10;8;13.950
4;10;9;23.100
4;10;10;14.450
4;10;11;19.650
4;10;12;25.500
4;10;13;16.450
4;10;14;19.400
4;10;15;17.050
4;15;1;30.800
4;15;2;28.500
4;15;3;31.250
4;15;4;28.900
4;15;5;27.800
4;15;6;25.650
4;15;7;24.500
4;15;8;28.500
4;15;9;27.100
4;15;10;32.750
4;15;11;32.500
4;15;12;31.900
4;15;13;29.050
4;15;14;31.100
4;15;15;27.150
5;5;1;9.650
5;5;2;9.900
5;5;3;9.750
5;5;4;8.950
5;5;5;10.300
5;5;6;10.000
5;5;7;10.550
5;5;8;8.000
5;5;9;9.050
5;5;10;7.900
5;5;11;9.000
5;5;12;11.200
5;5;13;9.550
5;5;14;7.750
5;5;15;8.700
5;10;1;21.950
5;10;2;21.550
5;10;3;12.850
5;10;4;13.300
5;10;5;25.700
5;10;6;20.050
5;10;7;15.400
5;10;8;21.350
5;10;9;20.500
5;10;10;20.300
5;10;11;18.050
5;10;12;20.400
5;10;13;15.000
5;10;14;20.750
5;10;15;16.700
5;15;1;20.500
5;15;2;26.750
5;15;3;25.900
5;15;4;21.150
5;15;5;21.900
5;15;6;27.750
5;15;7;24.900
5;15;8;17.550
5;15;9;21.600
5;15;10;21.250
5;15;11;26.600
5;15;12;26.500
5;15;13;22.550
5;15;14;25.700
5;15;15;34.600
